,Name,Rating,Reviews,Type,Head Quarter,Old,Employees
0,TCS,3.9,(47.7k Reviews),Public,"Mumbai,Maharashtra + 267 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.2,(31.5k Reviews),Public,Dublin + 140 more,33 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(28.7k Reviews),Private,Teaneck. New Jersey. + 95 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(34.0k Reviews),Public,"Mumbai,Maharashtra + 1023 more",28 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(38.6k Reviews),Public,"Mumbai,Maharashtra + 1184 more",28 years old,1 Lakh+ Employees (India)
5,Wipro,3.9,(27.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 228 more",77 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(27.3k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 121 more",41 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(23.3k Reviews),Public,Paris + 76 more,55 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.8,(21.2k Reviews),Public,"Pune,Maharashtra + 212 more",36 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(20.5k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
10,HCL Technologies,3.9,(17.8k Reviews),Public,Noida + 138 more,31 years old,1 Lakh+ Employees (India)
11,Amazon,4.2,(17.3k Reviews),Public,"Seattle,Washington + 363 more",28 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1050 more",29 years old,1 Lakh+ Employees (India)
13,IBM,4.2,(21.0k Reviews),Public,"Armonk,New York + 116 more",111 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.1,(15.0k Reviews),Public,"Fremont,California + 67 more",39 years old,10k-50k Employees (India)
15,Larsen & Toubro ...,4.1,(24.2k Reviews),Public,"Mumbai,Maharashtra + 516 more",84 years old,10k-50k Employees (India)
16,Reliance jio,4.0,(14.5k Reviews),Public,"Navi Mumbai,Maharashtra + 944 more",15 years old,50k-1 Lakh Employees (India)
17,Vodafone Idea,4.2,(13.7k Reviews),Public,"Gandhinagar,Gujrat + 558 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(13.1k Reviews),Private,"Ahmedabad,Gujrat + 755 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(14.0k Reviews),Private,Paris + 119 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(13.4k Reviews),Public,"Mumbai,Maharashtra + 466 more",19 years old,50k-1 Lakh Employees (India)
21,Reliance Industr...,4.1,(42.2k Reviews),Public,"Navi Mumbai,Maharashtra + 463 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(12.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 498 more",27 years old,10k-50k Employees (India)
23,Deloitte,4.1,(10.0k Reviews),Private,"New York,New York + 131 more",177 years old,50k-1 Lakh Employees (India)
24,Tata Motors,4.0,(12.2k Reviews),Public,"Pune,Maharashtra + 384 more",77 years old,10k-50k Employees (India)
25,Reliance Retail,4.1,(14.9k Reviews),Private,"Navi Mumbai,Maharashtra + 615 more",16 years old,1 Lakh+ Employees (India)
26,WNS,3.7,(6.8k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India)
27,Mahindra & Mahin...,3.9,(38.6k Reviews),Public,"Mumbai,Maharashtra + 404 more",77 years old,1 Lakh+ Employees (India)
28,IndusInd Bank,3.8,(6.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 543 more",28 years old,10k-50k Employees (India)
29,Flipkart,4.2,(11.0k Reviews),Public,"Bangalore,Karnataka + 422 more",15 years old,50k-1 Lakh Employees (India)
30,BYJU'S,3.6,(10.9k Reviews),Private,"Bangalore,Karnataka + 175 more",11 years old,1k-5k Employees (India)
31,DXC Technology,3.9,(7.0k Reviews),Public,"Minato,Tokyo + 56 more",5 years old,10k-50k Employees (India)
32,Ernst & Young,3.8,(6.0k Reviews),Private,London + 71 more,20 years old,50k-1 Lakh Employees (India)
33,Hinduja Global S...,4.0,(6.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 73 more",22 years old,10k-50k Employees (India)
34,Maruti Suzuki,4.1,(5.9k Reviews),Public,"New Delhi,Delhi + 373 more",39 years old,10k-50k Employees (India)
35,Infosys BPM,4.0,(5.7k Reviews),"Bangalore/Bengaluru,Karnataka + 46 more",20 years old,10k-50k Employees (India),
36,HSBC,4.1,(5.8k Reviews),Private,"Pune,Maharashtra + 53 more",20 years old,10k-50k Employees (India)
37,Ericsson,4.3,(5.4k Reviews),Private,"Stockholm,Stockholm County + 132 more",146 years old,10k-50k Employees (India)
38,Bajaj Finserv,4.1,(5.1k Reviews),Public,"Pune,Maharashtra + 648 more",15 years old,10k-50k Employees (India)
39,IDFC FIRST Bank,4.0,(5.0k Reviews),Public,"Mumbai,Maharashtra + 376 more",4 years old,10k-50k Employees (India)
40,Conneqt Business...,3.7,(5.0k Reviews),Private,"Mumbai,Maharashtra + 152 more",20 years old,10k-50k Employees (India)
41,Dr. Reddy's,4.2,(4.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 131 more",36 years old,10k-50k Employees (India)
42,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 49 more",5 years old,5k-10k Employees (India)
43,Mphasis,3.8,(4.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 41 more",24 years old,10k-50k Employees (India)
44,Sutherland Globa...,3.9,(5.0k Reviews),Private,"Pittsford,New York + 40 more",36 years old,10k-50k Employees (India)
45,Cipla Pharmaceut...,4.1,(4.8k Reviews),Public,"Mumbai,Maharashtra + 185 more",87 years old,10k-50k Employees (India)
46,Jana Small Finan...,3.9,(4.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 305 more",16 years old,10k-50k Employees (India)
47,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 353 more",18 years old,10k-50k Employees (India)
48,Asian Paints,4.2,(4.7k Reviews),Public,"Mumbai,Maharashtra + 333 more",80 years old,10k-50k Employees (India)
49,ICICI Prudential...,4.1,(4.5k Reviews),Public,"Mumbai,Maharashtra + 396 more",22 years old,10k-50k Employees (India)
50,HCL Group,3.9,(23.7k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
51,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 38 more",34 years old,10k-50k Employees (India)
52,Udaan,4.1,(4.2k Reviews),Private,"Bangalore,Karnataka + 295 more",6 years old,1k-5k Employees (India)
53,HDFC Life,4.0,(5.5k Reviews),Public,"Mumbai,Maharashtra + 402 more",22 years old,10k-50k Employees (India)
54,Indian Army,4.7,(4.2k Reviews),Public,"New Delhi,Delhi + 263 more",127 years old,1 Lakh+ Employees (India)
55,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 28 more",23 years old,10k-50k Employees (India)
56,L&T Infotech,3.9,(4.0k Reviews),Public,"Mumbai,Maharashtra + 76 more",26 years old,10k-50k Employees (India)
57,Home Credit Fina...,4.2,(4.0k Reviews),Private,Gurugram + 101 more,10 years old,5k-10k Employees (India)
58,PwC,3.8,(4.0k Reviews),Partnership,London + 60 more,24 years old,10k-50k Employees (India)
59,Lupin,4.1,(3.9k Reviews),Public,"Mumbai,Maharashtra + 120 more",54 years old,10k-50k Employees (India)
60,UltraTech Cement,4.2,(4.5k Reviews),Public,"Mumbai,Maharashtra + 327 more",39 years old,10k-50k Employees (India)
61,Bajaj Finance,4.2,(4.3k Reviews),Private,"Pune,Maharashtra + 596 more",35 years old,10k-50k Employees (India)
62,Hindustan Unilev...,4.3,(4.4k Reviews),Public,"Mumbai,Maharashtra + 347 more",89 years old,10k-50k Employees (India)
63,ITC,3.9,(7.2k Reviews),Public,"Kolkata,West Bengal + 227 more",47 years old,10k-50k Employees (India)
64,Ujjivan Small Fi...,4.1,(3.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 377 more",5 years old,10k-50k Employees (India)
65,Paytm,3.8,(4.3k Reviews),Public,Noida + 228 more,12 years old,10k-50k Employees (India)
66,Zydus Cadila,4.2,(4.6k Reviews),Public,"Ahmedabad, India + 119 more",70 years old,10k-50k Employees (India)
67,OPPO,4.0,(3.8k Reviews),Public,"Dongguan,Guangdong + 316 more",18 years old,10k-50k Employees (India)
68,KPMG,3.8,(3.7k Reviews),Partnership,Bengaluru/Bangalore + 51 more,35 years old,10k-50k Employees (Global)
69,Mindtree,4.1,(3.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 25 more",23 years old,10k-50k Employees (India)
70,IIFL,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 466 more",27 years old,10k-50k Employees (India)
71,Shapoorji Pallon...,4.3,(6.7k Reviews),Private,"Mumbai,Maharashtra + 136 more",157 years old,5k-10k Employees (India)
72,JP Morgan Chase,4.2,(3.5k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
73,Shriram Transpor...,4.2,(3.8k Reviews),Public,"Mumbai,Maharashtra + 649 more",43 years old,10k-50k Employees (India)
74,Ashok Leyland,4.1,(3.5k Reviews),Public,"Chennai,Tamil Nadu + 184 more",74 years old,10k-50k Employees (India)
75,Sun Pharmaceutic...,4.1,(4.0k Reviews),Public,Mumbai + 147 more,39 years old,10k-50k Employees (India)
76,Vivo,4.1,(3.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 326 more",13 years old,5k-10k Employees (India)
77,Mahindra & Mahin...,4.3,(4.9k Reviews),Public,"Mumbai,Maharashtra + 549 more",31 years old,10k-50k Employees (India)
78,Aurobindo Pharma,4.1,(3.6k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,10k-50k Employees (India)
79,Wells Fargo Indi...,4.2,(3.3k Reviews),Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India)
80,iEnergizer,4.0,(3.3k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,10k-50k Employees (India)
81,Bandhan Bank,3.9,(3.4k Reviews),Public,"Kolkata,West Bengal + 528 more",21 years old,50k-1 Lakh Employees (India)
82,Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India)
83,Fidelity Nationa...,4.1,(3.5k Reviews),Private,"Jacksonville,Florida + 31 more",54 years old,10k-50k Employees (India)
84,Hewlett-Packard ...,4.3,(3.6k Reviews),Private,"Houston,Texas + 87 more",7 years old,10k-50k Employees (India)
85,Apollo Hospitals,4.1,(5.4k Reviews),Public,"San Francisco,California + 162 more",39 years old,50k-1 Lakh Employees (India)
86,Reliance Communi...,4.0,(4.0k Reviews),Public,"Navi Mumbai,Maharashtra + 364 more",20 years old,10k-50k Employees (India)
87,Delhivery,4.2,(3.6k Reviews),Private,"Delhi,NCT + 456 more",11 years old,10k-50k Employees (India)
88,Siemens,4.2,(4.8k Reviews),Public,"Munich,Bavaria + 104 more",175 years old,10k-50k Employees (India)
89,Future Group,4.2,(10.2k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India)
90,Nokia,4.2,(4.5k Reviews),Private,"Espoo,Southern Finland + 170 more",157 years old,10k-50k Employees (India)
91,eClerx,3.7,(3.1k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India)
92,AU Small Finance...,4.0,(4.1k Reviews),Private,"Jaipur,Rajasthan + 282 more",26 years old,10k-50k Employees (India)
93,Max Life Insuran...,4.2,(3.1k Reviews),JV,"Gurgaon/Gurugram,Haryana + 284 more",22 years old,10k-50k Employees (India)
94,First Source,3.9,(3.0k Reviews),Public,"Mumbai,Maharashtra + 44 more",21 years old,10k-50k Employees (India)
95,Oracle,3.9,(3.9k Reviews),Public,"Austin,Texas + 30 more",45 years old,50k-1 Lakh Employees (India)
96,TVS Motor,4.1,(4.4k Reviews),Public,"Chennai,Tamil Nadu + 237 more",43 years old,10k-50k Employees (India)
97,Hero MotoCorp,4.2,(3.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 262 more",38 years old,5k-10k Employees (India)
98,Tata Projects,4.2,(3.1k Reviews),Public,"Mumbai,Maharashtra + 190 more",43 years old,10k-50k Employees (India)
99,TATA Steel,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 123 more",115 years old,10k-50k Employees (India)
100,Oyo Rooms,3.5,(3.2k Reviews),Private,"Gurgaon,Haryana + 103 more",9 years old,1k-5k Employees (India)
101,Hexaware Technol...,3.8,(3.0k Reviews),Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India)
102,JSW Steel,3.9,(3.2k Reviews),Public,"Mumbai,Maharashtra + 93 more",40 years old,10k-50k Employees (India)
103,Wipro BPS,3.8,(3.0k Reviews),Bengaluru + 36 more,22 years old,1 Lakh+ Employees (India),
104,JLL,4.3,(3.0k Reviews),Private,"Mumbai,Maharashtra + 57 more",25 years old,10k-50k Employees (India)
105,Cyient,3.7,(2.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 24 more",31 years old,10k-50k Employees (India)
106,Hyundai Motor,4.2,(3.9k Reviews),Private,Seoul + 221 more,55 years old,10k-50k Employees (India)
107,Bosch,4.3,(6.2k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 84 more",136 years old,10k-50k Employees (India)
108,JustDial,3.5,(2.8k Reviews),Public,"Mumbai,Maharashtra + 124 more",26 years old,10k-50k Employees (India)
109,Bajaj Allianz Li...,4.1,(2.8k Reviews),Private,Pune + 398 more,21 years old,10k-50k Employees (India)
110,Quess,3.9,(8.8k Reviews),Public,Bangalore + 325 more,15 years old,10k-50k Employees (India)
111,Atos Syntel,3.7,(4.5k Reviews),Private,"Troy,Michigan + 15 more",42 years old,10k-50k Employees (India)
112,Samsung,4.0,(7.5k Reviews),Public,Seoul + 349 more,84 years old,10k-50k Employees (India)
113,Megha Engineerin...,4.2,(2.7k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 195 more",33 years old,1k-5k Employees (India)
114,Manappuram Finan...,4.0,(3.3k Reviews),Public,"Thrissur/Trichur,Kerala + 390 more",73 years old,10k-50k Employees (India)
115,L&T Construction,4.2,(3.5k Reviews),Public,Chennai + 259 more,78 years old,10k-50k Employees (India)
116,Omega Healthcare,3.7,(2.6k Reviews),Private,Florida + 27 more,18 years old,5k-10k Employees (India)
117,BNY Mellon,4.2,(2.6k Reviews),Private,"New York City,New York + 10 more",18 years old,10k-50k Employees (India)
118,Viatris,4.3,(2.6k Reviews),"Canonsburg,Pennsylvania + 63 more",61 years old,10k-50k Employees (India),
119,SBI Cards & Paym...,3.8,(2.5k Reviews),Government,"Gurgaon/Gurugram,Haryana + 240 more",24 years old,10k-50k Employees (India)
120,D Mart,4.0,(2.6k Reviews),Private,"Mumbai,Maharashtra + 159 more",22 years old,10k-50k Employees (India)
121,Fullerton India,4.2,(2.5k Reviews),Private,Mumbai + 393 more,15 years old,10k-50k Employees (India)
122,Cummins,4.3,(3.1k Reviews),"Columbus,Indiana + 80 more",60 years old,10k-50k Employees (India),
123,Aditya Birla Fas...,4.3,(3.3k Reviews),Private,Mumbai + 192 more,7 years old,10k-50k Employees (India)
124,Godrej & Boyce M...,3.9,(2.8k Reviews),Private,"Mumbai,Maharashtra + 115 more",125 years old,10k-50k Employees (India)
125,IQVIA,4.2,(2.6k Reviews),Partnership,Durham + 37 more,40 years old,10k-50k Employees (India)
126,UnitedHealth,4.2,(4.5k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India)
127,CBRE,4.3,(2.4k Reviews),Private,"Los Angeles,California + 51 more",116 years old,10k-50k Employees (India)
128,Equitas Small Fi...,4.2,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 286 more",15 years old,10k-50k Employees (India)
129,Dominos Pizza,4.1,(2.4k Reviews),Public,"Ypsilanti,Michigan + 205 more",62 years old,1k-5k Employees (India)
130,State Bank of In...,3.8,(4.8k Reviews),"Mumbai,Maharashtra + 340 more",216 years old,1 Lakh+ Employees (India),
131,Royal Enfield,4.2,(2.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 235 more",121 years old,1k-5k Employees (India)
132,Bajaj Auto,4.0,(2.4k Reviews),Public,"Pune,Maharashtra + 208 more",77 years old,5k-10k Employees (India)
133,Nagarjuna Constr...,4.1,(2.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 180 more",24 years old,1k-5k Employees (India)
134,JBM Group,4.0,(2.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 73 more",39 years old,10k-50k Employees (India)
135,Nagarro,4.5,(2.5k Reviews),Private,"Munich,Bavaria + 29 more",26 years old,10k-50k Employees (India)
136,Axis Direct,4.0,(2.4k Reviews),Private,"San Mateo,California + 263 more",11 years old,1k-5k Employees (India)
137,ICICI Lombard Ge...,3.9,(2.3k Reviews),Public,"Mumbai,Maharashtra + 196 more",21 years old,10k-50k Employees (India)
138,Amdocs,4.1,(2.3k Reviews),Private,"Chesterfield,Missouri + 11 more",40 years old,10k-50k Employees (India)
139,Schneider Electr...,4.2,(3.9k Reviews),Private,Paris + 77 more,23 years old,10k-50k Employees (India)
140,Tata Communicati...,4.2,(3.1k Reviews),Public,"Mumbai,Maharashtra + 88 more",36 years old,10k-50k Employees (India)
141,Wipro Infotech,4.0,(2.3k Reviews),Private,Bangalore + 114 more,77 years old,1 Lakh+ Employees (Global)
142,Wipro Consumer ...,3.9,(30.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 72 more",77 years old,1k-5k Employees (India)
143,Bosch Global Sof...,4.2,(2.3k Reviews),Private,Gerlingen + 21 more,32 years old,10k-50k Employees (India)
144,UST,4.1,(2.4k Reviews),Private,"Aliso Viejo,California + 31 more",21 years old,10k-50k Employees (India)
145,Ford Motor,4.5,(2.7k Reviews),Public,"Dearborn,Michigan + 105 more",119 years old,10k-50k Employees (India)
146,Muthoot Fincorp,4.0,(2.3k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 421 more",135 years old,10k-50k Employees (India)
147,Indiamart Interm...,3.8,(2.3k Reviews),Private,"Noida,Uttar Pradesh + 106 more",26 years old,10k-50k Employees (India)
148,Dell,4.2,(3.6k Reviews),Private,"Round Rock,Texas + 82 more",38 years old,10k-50k Employees (India)
149,Ecom Express,4.2,(2.3k Reviews),Private,"Gurgaon,Haryana + 468 more",10 years old,10k-50k Employees (India)
150,BigBasket,4.1,(2.3k Reviews),Private,"Bangalore,Karnataka + 77 more",11 years old,5k-10k Employees (India)
151,Whitehat jr,3.8,(2.2k Reviews),Private,"Mumbai,Maharashtra + 43 more",4 years old,5k-10k Employees (India)
152,Flex,4.1,(2.2k Reviews),Private,San Jose + 35 more,53 years old,10k-50k Employees (India)
153,John Deere,4.4,(2.5k Reviews),Private,"Moline,Illinois + 98 more",21 years old,5k-10k Employees (India)
154,LG Electronics,4.0,(2.3k Reviews),Public,"Seoul,Seoul + 184 more",64 years old,10k-50k Employees (India)
155,Hetero Drugs,4.0,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 33 more",29 years old,1k-5k Employees (India)
156,L&T Financial Se...,4.0,(2.2k Reviews),Public,"Mumbai,Maharashtra + 381 more",28 years old,10k-50k Employees (India)
157,Motherson Sumi S...,3.9,(3.6k Reviews),Public,"Noida,Uttar Pradesh + 60 more",36 years old,5k-10k Employees (India)
158,SBI Life Insuran...,3.9,(2.2k Reviews),Government,"Mumbai,Maharashtra + 415 more",21 years old,10k-50k Employees (India)
159,Sodexo,4.1,(2.3k Reviews),Private,Issy Les Moulineaux + 107 more,14 years old,5k-10k Employees (India)
160,KEC Internationa...,4.1,(2.2k Reviews),Public,"Mumbai,Maharashtra + 202 more",77 years old,5k-10k Employees (India)
161,Cholamandalam In...,4.2,(2.2k Reviews),Private,"Chennai,Tamil Nadu + 476 more",44 years old,5k-10k Employees (India)
162,GlobalLogic,4.0,(2.2k Reviews),Private,"San Jose,California + 23 more",22 years old,1k-5k Employees (India)
163,Abbott Healthcar...,4.1,(4.2k Reviews),Public,"Illinois City,Illinois + 145 more",31 years old,10k-50k Employees (India)
164,Capgemini Techno...,4.1,(2.1k Reviews),Bengaluru/Bangalore + 23 more,,,
165,Subros,4.0,(2.1k Reviews),Public,"Noida,Uttar Pradesh + 34 more",37 years old,1k-5k Employees (India)
166,Muthoot Finance,3.6,(2.1k Reviews),Public,"Kochi/Cochin,Kerala + 396 more",83 years old,10k-50k Employees (India)
167,Thermax,4.2,(2.4k Reviews),Public,"Pune,Maharashtra + 123 more",42 years old,1k-5k Employees (India)
168,Intas Pharmaceut...,4.3,(2.1k Reviews),Private,"Ahmedabad,Gujrat + 97 more",22 years old,10k-50k Employees (India)
169,Hindustan Coca C...,4.4,(2.1k Reviews),Private,Bangalore + 165 more,25 years old,5k-10k Employees (India)
170,Simplex Infrastr...,3.7,(2.3k Reviews),Public,"Kolkata,West Bengal + 122 more",98 years old,1k-5k Employees (India)
171,Automatic Data P...,4.2,(2.1k Reviews),New Jersey + 10 more,73 years old,1k-5k Employees (India),
172,Wipro Enterprise...,3.9,(32.2k Reviews),Bangalore + 63 more,77 years old,1 Lakh+ Employees (India),
173,VE Commercial Ve...,4.0,(2.0k Reviews),Private,"Gurgaon/Gurugram,Haryana + 102 more",14 years old,1k-5k Employees (India)
174,Optum,4.1,(2.0k Reviews),Private,Minnesota + 20 more,45 years old,10k-50k Employees (India)
175,Muthoot Group,3.7,(4.6k Reviews),Public,"Wedel,Schleswig-holstein + 324 more",135 years old,1k-5k Employees (India)
176,Atos,3.9,(7.8k Reviews),Private,"Vilnius,Vilniaus Apskritis + 30 more",25 years old,10k-50k Employees (India)
177,Gati kwe,4.1,(2.0k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 142 more",10 years old,5k-10k Employees (India)
178,Virtusa Consulti...,3.8,(2.1k Reviews),Private,"Southborough,Massachusetts + 23 more",26 years old,5k-10k Employees (India)
179,Varun Beverages,4.0,(2.0k Reviews),Public,"Gurgaon/Gurugram,Haryana + 187 more",27 years old,10k-50k Employees (India)
180,Swiggy,4.1,(2.3k Reviews),Private,"Bangalore,Karnataka + 135 more",8 years old,10k-50k Employees (India)
181,Macleods Pharmac...,4.0,(2.0k Reviews),Public,"Mumbai,Maharashtra + 74 more",36 years old,5k-10k Employees (India)
182,NatWest Group,4.1,(2.2k Reviews),Government,Gurgaon/Gurugram + 18 more,10k-50k Employees (India),
183,Arvind Group,4.1,(2.4k Reviews),Public,"Ahmedabad,Gujrat + 127 more",91 years old,10k-50k Employees (India)
184,Indian Air Force,4.6,(2.0k Reviews),Private,"New Delhi,Delhi + 97 more",90 years old,1 Lakh+ Employees (India)
185,Alembic Pharmace...,4.1,(2.0k Reviews),Public,"Vadodara/Baroda,Gujrat + 117 more",115 years old,10k-50k Employees (India)
186,American Express,4.4,(2.0k Reviews),Private,"New York City,New York + 34 more",172 years old,10k-50k Employees (India)
187,Shoppers Stop,4.3,(2.0k Reviews),Public,"Mumbai,Maharashtra + 55 more",31 years old,5k-10k Employees (India)
188,Randstad,4.1,(2.0k Reviews),Private,"Chennai,Tamil Nadu + 198 more",30 years old,1k-5k Employees (India)
189,Bel,4.2,(2.0k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 33 more",68 years old,5k-10k Employees (India)
190,Cgi Group,4.2,(2.0k Reviews),Private,"Montreal,Quebec + 13 more",46 years old,10k-50k Employees (India)
191,CMS IT Services,3.2,(1.9k Reviews),Private,"Bangalore,Karnataka + 115 more",8 years old,5k-10k Employees (India)
192,Glenmark Pharmac...,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 109 more",45 years old,10k-50k Employees (India)
193,DTDC Express,3.9,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 185 more",32 years old,5k-10k Employees (India)
194,ABB Group,4.1,(1.9k Reviews),Public,Zurich + 84 more,21 years old,10k-50k Employees (India)
195,Suzlon Group,4.2,(1.9k Reviews),Public,"Pune,Maharashtra + 84 more",27 years old,5k-10k Employees (India)
196,Alkem Laboratori...,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 117 more",49 years old,10k-50k Employees (India)
197,Deutsche Bank,4.3,(2.1k Reviews),Private,Frankfurt + 28 more,152 years old,10k-50k Employees (India)
198,McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 120 more",67 years old,5k-10k Employees (India)
199,Honda Motorcycle...,4.2,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 167 more",23 years old,1k-5k Employees (India)
200,Pidilite Industr...,4.4,(2.0k Reviews),Public,"Mumbai,Maharashtra + 176 more",63 years old,5k-10k Employees (India)
201,DCB Bank,4.0,(1.9k Reviews),Private,"Mumbai,Maharashtra + 243 more",92 years old,5k-10k Employees (India)
202,Piramal Capital ...,4.3,(1.9k Reviews),Mumbai + 220 more,4 years old,1k-5k Employees (India),
203,Havells,4.2,(2.1k Reviews),Public,"Noida,Uttar Pradesh + 121 more",39 years old,5k-10k Employees (India)
204,Ipca Laboratorie...,4.0,(1.9k Reviews),Public,"Mumbai,Maharashtra + 101 more",73 years old,10k-50k Employees (India)
205,Reliance Nippon ...,3.9,(1.9k Reviews),Private,"Mumbai,Maharashtra + 382 more",22 years old,10k-50k Employees (India)
206,Lava Internation...,4.2,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 200 more",13 years old,1k-5k Employees (India)
207,Standard Charter...,4.2,(5.6k Reviews),Private,London + 57 more,53 years old,10k-50k Employees (India)
208,CARS24,3.8,(1.9k Reviews),Private,"Gurgaon,Haryana + 131 more",7 years old,5k-10k Employees (India)
209,KocharTech,4.4,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 18 more",27 years old,1k-5k Employees (India)
210,Indian Oil Corpo...,4.4,(2.1k Reviews),Private,"Delhi/NCR,Delhi + 180 more",63 years old,10k-50k Employees (India)
211,Bajaj Electrical...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 160 more",84 years old,5k-10k Employees (India)
212,L&T Technology S...,3.4,(1.8k Reviews),Public,"Vadodara/Baroda,Gujarat + 24 more",10 years old,10k-50k Employees (India)
213,Conduent,3.6,(1.8k Reviews),Private,"Florham Park,New Jersey + 18 more",5 years old,5k-10k Employees (India)
214,24/7 Customer,3.6,(1.8k Reviews),Private,"San Jose,California + 21 more",22 years old,5k-10k Employees (India)
215,Hindalco Industr...,4.3,(1.9k Reviews),Public,"Mumbai,Maharashtra + 64 more",64 years old,10k-50k Employees (India)
216,Maersk,4.4,(2.3k Reviews),Private,Copenhagen + 21 more,118 years old,10k-50k Employees (India)
217,Titan Company,4.4,(2.5k Reviews),Public,"Mumbai,Maharashtra + 122 more",4 years old,5k-10k Employees (India)
218,Future Retail,4.2,(4.5k Reviews),Public,"San Francisco,California + 187 more",35 years old,10k-50k Employees (India)
219,MRF Tyres,3.7,(2.0k Reviews),Public,"Chennai,Tamil Nadu + 158 more",76 years old,10k-50k Employees (India)
220,Team Lease,4.0,(1.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 198 more",6 years old,1k-5k Employees (India)
221,Vishal Mega Mart,3.9,(1.8k Reviews),Private,"Ahmedabad,Gujrat + 244 more",14 years old,10k-50k Employees (India)
222,Jindal Steel and...,4.0,(2.1k Reviews),Private,"Delhi/NCR,New Delhi + 90 more",70 years old,5k-10k Employees (India)
223,Huawei Technolog...,3.8,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 88 more",20 years old,5k-10k Employees (India)
